id,eventname,startdate,enddate,venue.town,venue.region,cancelled,genre_count,genres,artist_count
41162497,Symphonic Ibiza - KNOWLE - Friday 26th June 2026,2026-06-26T17:00:00+00:00,2026-06-26T22:30:00+00:00,Solihull,Birmingham,0,,,
42138323,"OVERMONO, GIGGS & MORE| Boiler Room: Nottingham at Colwick Park",2026-06-26T15:00:00+00:00,2026-06-26T23:00:00+00:00,Nottingham,Nottingham,0,3.0,"['House', 'Rap', 'Electronic']",9.0
42330638,The Bootleg Beatles | Central Park Brighton Seafront,2026-06-26T18:00:00+00:00,2026-06-26T22:30:00+00:00,Brighton,Brighton and Hove,0,2.0,"['Indie', 'Alternative']",2.0
41321129,Open Arms Fest,2026-06-26T10:00:00+00:00,2026-06-28T12:00:00+00:00,Fordingbridge,Wiltshire,0,5.0,"['House', 'UK Garage', 'Drum and Bass', 'Disco', 'Bassline']",13.0
41355009,Humber View Tribute Festival 2026,2026-06-26T16:30:00+00:00,2026-06-26T22:30:00+00:00,Hull,Humberside,0,4.0,"['Rock', 'Pop', 'Covers Band/Tribute Act', '1980s']",4.0
42323636,"Ibiza Anthems With Judge Jules, Scott Bond & Leonie",2026-06-26T18:00:00+00:00,2026-06-26T22:00:00+00:00,Ilkeston,Derbyshire,0,3.0,"['House', 'Trance', 'Club Classics']",
41377461,Shirley's Summer Sesh Friday,2026-06-26T17:00:00+00:00,2026-06-26T23:00:00+00:00,Ballymoney,Northern Ireland,0,1.0,['Nu Rave'],4.0
41499453,Grass Roots Grazin' 2026,2026-06-26T12:00:00+00:00,2026-06-28T22:30:00+00:00,Salisbury,Wiltshire,0,3.0,"['Indie', 'Folk', 'Punk']",11.0
42456424,Oundle Fringe Festival,2026-06-26T00:00:00+00:00,2026-07-05T17:00:00+00:00,Oundle,Cambridgeshire,0,5.0,"['Rock', 'Jazz', 'Classical', 'Acoustic', 'Folk']",
42141423,Granite City Festival presents Source Festival,2026-06-26T15:00:00+00:00,2026-06-26T23:00:00+00:00,Aberdeen,Grampian,1,1.0,['House'],8.0
41387444,Heartland Festival,2026-06-26T11:00:00+00:00,2026-06-28T23:00:00+00:00,Pitlochry,Tayside,0,2.0,"['Indie', 'Folk']",15.0
42147549,Grass Roots Grazin',2026-06-26T12:00:00+00:00,2026-06-28T22:30:00+00:00,Salisbury,Wiltshire,0,,,
41595240,Reyt Fest,2026-06-26T17:30:00+00:00,2026-06-27T23:30:00+00:00,Rotherham,South Yorkshire,0,5.0,"['Indie', 'Alternative', 'Brit Pop', 'Indie Pop', 'Pop Punk']",17.0
41602012,State Fayre Festival,2026-06-26T11:00:00+00:00,2026-06-28T23:00:00+00:00,Chelmsford,Essex,0,4.0,"['Rock', 'Country/Americana', 'Indie Pop', 'Pop Rock']",20.0
42249429,Expansivefest,2026-06-26T20:00:00+00:00,2026-06-28T16:00:00+00:00,Braunton,Devon,0,5.0,"['House', 'UK Garage', 'Techno', 'Dubstep', 'Jungle']",2.0
41353164,Outbreak Fest,2026-06-26T11:00:00+00:00,2026-06-28T23:00:00+00:00,Manchester,Greater Manchester,0,2.0,"['Rock', 'Metal']",48.0
41129870,Restricted Forest 2026,2026-06-27T13:00:00+00:00,2026-06-27T23:00:00+00:00,Liverpool,Merseyside,0,4.0,"['Trance', 'Old Skool', 'Club Classics', '1990s']",27.0
41476993,"Rum & Reggae Fest| Colwick Park, Nottingham LAST 300 TICKETS",2026-06-27T13:00:00+00:00,2026-06-27T23:00:00+00:00,Nottingham,Nottingham,0,5.0,"['Drum and Bass', 'Dancehall', 'Reggae', 'Jungle', 'Dub']",25.0
41267683,Granite City Festival 2026,2026-06-27T12:00:00+00:00,2026-06-27T23:00:00+00:00,Aberdeen,Grampian,0,3.0,"['House', 'Trance', 'Tech House']",31.0
41162459,Knowle Party In The Park 2026,2026-06-27T11:00:00+00:00,2026-06-27T22:30:00+00:00,Solihull,Birmingham,0,,,3.0
41235747,Cafe Mambo Ibiza Classics in the Park 2026,2026-06-27T14:00:00+00:00,2026-06-27T23:00:00+00:00,Hull,Humberside,0,5.0,"['House', 'Retro House', 'Club Classics', 'Funky House', 'Disco House']",17.0
42088734,Northampton Saints Music Festival 2026,2026-06-27T12:00:00+00:00,2026-06-27T23:45:00+00:00,Northampton,Northamptonshire,0,,,
41998789,Junction 42,2026-06-27T14:00:00+00:00,2026-06-27T22:00:00+00:00,Norwich,Norfolk,0,5.0,"['UK Garage', 'R&B', 'Drum and Bass', 'Old Skool', 'Hip Hop']",24.0
